"","RunCode","RunName","StationNumber","SAM_Code","Datetime","QST_NAME","SamplingDate"
"404","ES1013B0043","YB - Fall Study","A0D84061386","ES1013B0182",2013-10-08 11:08:00,"Toe Drain at Rd. 22",2013-10-08
"405","ES1013B0043","YB - Fall Study","A0D83441350","ES1013B0184",2013-10-08 11:54:00,"Toe Drain@ I-80",2013-10-08
"406","ES1013B0043","YB - Fall Study","A0D82691360","ES1013B0188",2013-10-08 13:52:00,"Toe Drain Bl YWA",2013-10-08
"407","ES1013B0043","YB - Fall Study","A0D82120386","ES1013B0190",2013-10-08 12:31:00,"Toe Drain at STTD",2013-10-08
"408","ES1013B0043","YB - Fall Study","B9D81651399","ES1013B0192",2013-10-08 12:10:00,"BL5 -Below Toe Drain",2013-10-08
"409","ES1013B0043","YB - Fall Study","B9D81450411","ES1013B0194",2013-10-08 11:58:00,"Liberty at S End",2013-10-08
"410","ES1013B0043","YB - Fall Study","B9D81281402","ES1013B0196",2013-10-08 11:41:00,"RYI - Cache Slough",2013-10-08
"411","ES1013B0043","YB - Fall Study","B9D81040386","ES1013B0198",2013-10-08 11:21:00,"SRV - Vieira's",2013-10-08
"412","ES1013B0043","YB - Fall Study","B9D80960412","ES1013B0200",2013-10-08 10:54:00,"RVB - Rio Vista",2013-10-08
"413","ES1013B0043","YB - Fall Study","A0290400","ES1013B0203",2013-10-08 10:18:00,"Lisbon Sl @Toe Drain",2013-10-08
"414","ES1013B0045","YB - Fall Study","A0D84761435","ES1013B0236",2013-10-15 09:37:00,"Ridge Cut Slough",2013-10-15
"415","ES1013B0045","YB - Fall Study","A0D84061386","ES1013B0238",2013-10-15 11:10:00,"Toe Drain at Rd. 22",2013-10-15
"416","ES1013B0045","YB - Fall Study","A0D83441350","ES1013B0240",2013-10-15 11:46:00,"Toe Drain@ I-80",2013-10-15
"417","ES1013B0045","YB - Fall Study","A0D82691360","ES1013B0244",2013-10-15 12:32:00,"Toe Drain Bl YWA",2013-10-15
"418","ES1013B0045","YB - Fall Study","B9D81651399","ES1013B0248",2013-10-15 10:24:00,"BL5 -Below Toe Drain",2013-10-15
"419","ES1013B0045","YB - Fall Study","B9D81450411","ES1013B0250",2013-10-15 10:37:00,"Liberty at S End",2013-10-15
"420","ES1013B0045","YB - Fall Study","B9D81281402","ES1013B0252",2013-10-15 10:50:00,"RYI - Cache Slough",2013-10-15
"421","ES1013B0045","YB - Fall Study","B9D81040386","ES1013B0254",2013-10-15 11:08:00,"SRV - Vieira's",2013-10-15
"422","ES1013B0045","YB - Fall Study","B9D80960412","ES1013B0256",2013-10-15 11:20:00,"RVB - Rio Vista",2013-10-15
"423","ES1013B0045","YB - Fall Study","A0290400","ES1013B0258",2013-10-15 10:20:00,"Lisbon Sl @Toe Drain",2013-10-15
"424","ES1013B0049","YB - Fall Study","A0D84761435","ES1013B0287",2013-10-22 09:19:00,"Ridge Cut Slough",2013-10-22
"425","ES1013B0049","YB - Fall Study","A0D84061386","ES1013B0289",2013-10-22 10:46:00,"Toe Drain at Rd. 22",2013-10-22
"426","ES1013B0049","YB - Fall Study","A0D83441350","ES1013B0291",2013-10-22 11:32:00,"Toe Drain@ I-80",2013-10-22
"427","ES1013B0049","YB - Fall Study","A0D82691360","ES1013B0295",2013-10-22 00:46:00,"Toe Drain Bl YWA",2013-10-22
"428","ES1013B0049","YB - Fall Study","A0D82120386","ES1013B0297",2013-10-22 11:42:00,"Toe Drain at STTD",2013-10-22
"429","ES1013B0049","YB - Fall Study","B9D81651399","ES1013B0299",2013-10-22 10:23:00,"BL5 -Below Toe Drain",2013-10-22
"430","ES1013B0049","YB - Fall Study","B9D81450411","ES1013B0301",2013-10-22 11:12:00,"Liberty at S End",2013-10-22
