,ACT_UNIT_NAME,RunCode,StationNumber,StationName,RunName,SAM_Code,Datetime,SampleType,SamplingDate,Action
170,Aquatic Ecology,EA0813B0229,A0D84061386,Toe Drain at Rd. 22,YB - Fall Study,EA0813B1634,8/26/2013 10:11,Normal Sample,8/26/2013,Enter NDFA 2013 in database
171,Aquatic Ecology,EA0813B0229,B9D81450411,Liberty at S End,YB - Fall Study,EA0813B1647,8/26/2013 10:22,Replicate Sample,8/26/2013,Enter NDFA 2013 in database
172,Aquatic Ecology,EA0813B0229,B9D81450411,Liberty at S End,YB - Fall Study,EA0813B1646,8/26/2013 10:22,Normal Sample,8/26/2013,Enter NDFA 2013 in database
173,Aquatic Ecology,EA0813B0229,B9D81651399,BL5 -Below Toe Drain,YB - Fall Study,EA0813B1644,8/26/2013 10:36,Normal Sample,8/26/2013,Enter NDFA 2013 in database
174,Aquatic Ecology,EA0813B0229,B9D81651399,BL5 -Below Toe Drain,YB - Fall Study,EA0813B1645,8/26/2013 10:36,"Replicate, Specific Analyte(s)",8/26/2013,Enter NDFA 2013 in database
175,Aquatic Ecology,EA0813B0229,A0D83441350,Toe Drain@ I-80,YB - Fall Study,EA0813B1636,8/26/2013 10:50,Normal Sample,8/26/2013,Enter NDFA 2013 in database
176,Aquatic Ecology,EA0813B0229,A0D83441350,Toe Drain@ I-80,YB - Fall Study,EA0813B1637,8/26/2013 10:50,"Replicate, Specific Analyte(s)",8/26/2013,Enter NDFA 2013 in database
177,Aquatic Ecology,EA0813B0229,A0D82120386,Toe Drain at STTD,YB - Fall Study,EA0813B1643,8/26/2013 10:53,"Replicate, Specific Analyte(s)",8/26/2013,Enter NDFA 2013 in database
178,Aquatic Ecology,EA0813B0229,A0D82120386,Toe Drain at STTD,YB - Fall Study,EA0813B1642,8/26/2013 10:53,Normal Sample,8/26/2013,Enter NDFA 2013 in database
179,Aquatic Ecology,EA0813B0229,B9D82851352,Toe Drain YB LISBON,YB - Fall Study,EA0813B1639,8/26/2013 11:33,"Replicate, Specific Analyte(s)",8/26/2013,Enter NDFA 2013 in database
180,Aquatic Ecology,EA0813B0229,B9D82851352,Toe Drain YB LISBON,YB - Fall Study,EA0813B1638,8/26/2013 11:33,Normal Sample,8/26/2013,Enter NDFA 2013 in database
183,Aquatic Ecology,EA0913B0247,A0D84061386,Toe Drain at Rd. 22,YB - Fall Study,EA0913B1794,9/5/2013 10:03,Normal Sample,9/5/2013,Enter NDFA 2013 in database
184,Aquatic Ecology,EA0913B0247,A0D84061386,Toe Drain at Rd. 22,YB - Fall Study,EA0913B1795,9/5/2013 10:03,Replicate Sample,9/5/2013,Enter NDFA 2013 in database
185,Aquatic Ecology,EA0913B0247,A0D83441350,Toe Drain@ I-80,YB - Fall Study,EA0913B1796,9/5/2013 10:32,Normal Sample,9/5/2013,Enter NDFA 2013 in database
186,Aquatic Ecology,EA0913B0247,A0D83441350,Toe Drain@ I-80,YB - Fall Study,EA0913B1797,9/5/2013 10:32,"Replicate, Specific Analyte(s)",9/5/2013,Enter NDFA 2013 in database
189,Aquatic Ecology,EA0913B0247,B9D81651399,BL5 -Below Toe Drain,YB - Fall Study,EA0913B1804,9/5/2013 12:30,Normal Sample,9/5/2013,Enter NDFA 2013 in database
190,Aquatic Ecology,EA0913B0247,B9D81651399,BL5 -Below Toe Drain,YB - Fall Study,EA0913B1805,9/5/2013 12:30,"Replicate, Specific Analyte(s)",9/5/2013,Enter NDFA 2013 in database
191,Aquatic Ecology,EA0913B0247,B9D81450411,Liberty at S End,YB - Fall Study,EA0913B1806,9/5/2013 12:45,Normal Sample,9/5/2013,Enter NDFA 2013 in database
192,Aquatic Ecology,EA0913B0247,B9D81450411,Liberty at S End,YB - Fall Study,EA0913B1807,9/5/2013 12:45,Replicate Sample,9/5/2013,Enter NDFA 2013 in database
193,Aquatic Ecology,EA0913B0247,B9D81281402,RYI - Cache Slough,YB - Fall Study,EA0913B1809,9/5/2013 13:03,"Replicate, Specific Analyte(s)",9/5/2013,Enter NDFA 2013 in database
194,Aquatic Ecology,EA0913B0247,B9D81281402,RYI - Cache Slough,YB - Fall Study,EA0913B1808,9/5/2013 13:03,Normal Sample,9/5/2013,Enter NDFA 2013 in database
195,Aquatic Ecology,EA0913B0247,B9D81040386,SRV - Vieira's,YB - Fall Study,EA0913B1810,9/5/2013 13:20,Normal Sample,9/5/2013,Enter NDFA 2013 in database
196,Aquatic Ecology,EA0913B0247,B9D81040386,SRV - Vieira's,YB - Fall Study,EA0913B1811,9/5/2013 13:20,Replicate Sample,9/5/2013,Enter NDFA 2013 in database
197,Aquatic Ecology,EA0913B0247,B9D80960412,RVB - Rio Vista,YB - Fall Study,EA0913B1813,9/5/2013 13:43,"Replicate, Specific Analyte(s)",9/5/2013,Enter NDFA 2013 in database
