"","SampleID","OrganismCode","ForkLength","TotalLength","Weight","Sex","Spawning.Condition","MarkCode","Race","StageCode","Dead","CWTSample","Genetic.Sample","Direct.Take","Indirect.Take","FishTagID","Count","Plus.Count","FishIDComments","SalmGenRowID","GeneticID1","Prob1","GeneticID2","Prob2","SalmComments","SmeltGenRowID","GeneticID","numChrom","V.shape","SmeltComments","qDS","qLFS","qWAG","GenotypeRun"
"85",7528,"CHN",90,NA,8.39,"","","A","S","CHN_S","No",FALSE,TRUE,TRUE,FALSE,"2017Ad_minus-S_002",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"86",7495,"CHN",81,NA,6.42,"","","A","S","n/p","No",FALSE,TRUE,FALSE,FALSE,"2017Ad_minus-S_003",1,FALSE,"smolting",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",7534,"CHN",98,NA,10.9,"","","A","S","CHN_S","No",FALSE,TRUE,TRUE,FALSE,"2017Ad_minus-S_004",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",7543,"CHN",97,NA,11.87,"","","A","S","n/p","No",FALSE,TRUE,TRUE,FALSE,"2017Ad_minus-S_005",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89",7543,"CHN",113,NA,18.21,"","","A","S","n/p","No",FALSE,TRUE,TRUE,FALSE,"2017Ad_minus-S_006",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",7569,"CHN",94,NA,9.86,"","","A","S","CHN_S","No",FALSE,TRUE,TRUE,FALSE,"2017Ad_minus-S_007",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91",7298,"CHN",37,NA,0.41,"","","None","F","n/p","No",FALSE,TRUE,FALSE,FALSE,"2017Ad_plus-F_027",1,FALSE,"",1117,"",NA,"",0,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"92",7396,"CHN",38,NA,0.53,"","","None","F","n/p","No",FALSE,TRUE,FALSE,FALSE,"2017Ad_plus-F_1270",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93",7396,"CHN",38,NA,0.48,"","","None","F","n/p","No",FALSE,TRUE,FALSE,FALSE,"2017Ad_plus-F_1271",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94",7396,"CHN",37,NA,0.44,"","","None","F","n/p","No",FALSE,TRUE,FALSE,FALSE,"2017Ad_plus-F_1272",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",7396,"CHN",35,NA,0.35,"","","None","F","n/p","No",FALSE,TRUE,FALSE,FALSE,"2017Ad_plus-F_1273",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96",7396,"CHN",36,NA,0.44,"","","None","F","n/p","No",FALSE,TRUE,FALSE,FALSE,"2017Ad_plus-F_1274",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97",7396,"CHN",39,NA,0.49,"","","None","F","n/p","No",FALSE,TRUE,FALSE,FALSE,"2017Ad_plus-F_1275",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98",7396,"CHN",35,NA,0.38,"","","None","F","n/p","No",FALSE,TRUE,FALSE,FALSE,"2017Ad_plus-F_1276",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",7322,"CHN",36,NA,0.35,"","","None","F","n/p","No",FALSE,TRUE,FALSE,FALSE,"2017Ad_plus-F_293",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100",7333,"CHN",38,NA,0.51,"","","None","F","n/p","No",FALSE,TRUE,FALSE,FALSE,"2017Ad_plus-F_414",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"101",7347,"CHN",44,NA,0.68,"","","None","F","n/p","No",FALSE,TRUE,FALSE,FALSE,"2017Ad_plus-F_479",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102",7347,"CHN",44,NA,0.7,"","","None","F","n/p","No",FALSE,TRUE,FALSE,FALSE,"2017Ad_plus-F_480",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",7369,"CHN",32,NA,0.25,"","","None","F","n/p","No",FALSE,TRUE,FALSE,FALSE,"2017Ad_plus-F_665",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104",8524,"CHN",820,863,NA,"","","None","n/p","n/p","No",FALSE,TRUE,FALSE,FALSE,"2019_ACHN_001",1,FALSE,"Floy# Left: 518 and Floy# Right: 519",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105",8909,"CHN",813,864,NA,"Female","","None","n/p","n/p","No",FALSE,TRUE,FALSE,FALSE,"2019_ACHN_105",1,FALSE,"Floy: 558/559",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",8895,"CHN",662,709,NA,"Male","","None","n/p","n/p","No",FALSE,TRUE,FALSE,FALSE,"2019_ACHN_106",1,FALSE,"Floy: R-561 L-560",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",8911,"CHN",660,714,NA,"Male","","None","F","n/p","No",FALSE,TRUE,FALSE,FALSE,"2019_ACHN_107",1,FALSE,"FLOY: Left 563/right 564",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",8449,"CHN",61,NA,2.64,"","","A","F","n/p","No",TRUE,TRUE,TRUE,FALSE,"2019Ad_min-F_001",1,FALSE,"SIU fin clipped",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",8511,"CHN",74,NA,4.23,"","","A","F","n/p","No",TRUE,TRUE,TRUE,FALSE,"2019Ad_min-F_002",1,FALSE,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
